12,8:15
15,8:17
39,8:18
77,8:19
128,8:20
200,8:21
306,8:22
420,8:23
539,8:24
627,8:25
711,8:26
778,8:27
860,8:28
931,8:29
1000,8:30
1057,8:32
1100,8:33
1143,8:34
1204,8:35
1275,8:36
1343,8:37
1414,8:38
1496,8:39
1584,8:40
1645,8:41
1716,8:42
1799,8:43
1857,8:44
1930,8:45
2021,8:46
2089,8:47
2179,8:48
2244,8:49
2301,8:50
2379,8:51
2441,8:52
2513,8:53
2576,8:54
2626,8:55
2678,8:56
2723,8:57
2772,8:58
2829,8:59
2908,9:00
2982,9:01
3031,9:02
3089,9:03
3143,9:04
3189,9:05
3250,9:06
3319,9:07
3380,9:08
3430,9:09
3502,9:10
3589,9:11
3608,9:12
3611,9:13
3665,9:14
3707,9:15
3751,9:16
3825,9:17
3874,9:18
3925,9:19
3973,9:20
4033,9:21
4072,9:22
4124,9:23
4170,9:24
4218,9:25
4261,9:26
4296,9:27
4331,9:28
4355,9:29
4396,9:30
